epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
19,10984.5,2.53118,1.42036,0.95911,0.56725,0.58795,0.53853,0.18302,2.38272,1.33737,0.96861,0.0012872,0.0012872,0.0012872
20,11546.3,2.5333,1.43838,0.95889,0.5494,0.60117,0.56309,0.20906,2.29518,1.28283,0.95044,0.0012476,0.0012476,0.0012476
21,12110,2.52173,1.41156,0.94948,0.56535,0.58705,0.54757,0.19596,2.31512,1.33282,0.95392,0.001208,0.001208,0.001208
22,12684.7,2.53199,1.41651,0.94929,0.55562,0.57113,0.54168,0.1918,2.34481,1.30638,0.95606,0.0011684,0.0011684,0.0011684
23,13286.5,2.50979,1.42103,0.96426,0.55397,0.57999,0.55923,0.21132,2.28549,1.27791,0.95016,0.0011288,0.0011288,0.0011288
24,13864.9,2.49792,1.39862,0.94999,0.6051,0.60793,0.57518,0.20106,2.3549,1.29491,0.96741,0.0010892,0.0010892,0.0010892
25,14463.8,2.47855,1.39592,0.95945,0.59511,0.60733,0.58029,0.2074,2.30608,1.25723,0.95294,0.0010496,0.0010496,0.0010496
26,15098.8,2.43909,1.37643,0.95668,0.59065,0.60072,0.58972,0.22565,2.25772,1.24737,0.94605,0.00101,0.00101,0.00101
27,15682,2.44904,1.37766,0.95565,0.5765,0.60102,0.56366,0.20669,2.31731,1.26968,0.96049,0.0009704,0.0009704,0.0009704
28,16240.5,2.4765,1.38025,0.94883,0.60197,0.60907,0.59526,0.22137,2.31055,1.24383,0.95808,0.0009308,0.0009308,0.0009308
29,16780,2.46947,1.37064,0.94233,0.58625,0.59456,0.58637,0.23161,2.24245,1.25736,0.94522,0.0008912,0.0008912,0.0008912
30,17329,2.43868,1.35918,0.94673,0.62371,0.60868,0.60716,0.21968,2.29245,1.24183,0.95189,0.0008516,0.0008516,0.0008516
31,17911.8,2.42714,1.35777,0.95879,0.64821,0.61615,0.61388,0.22868,2.28054,1.22052,0.95134,0.000812,0.000812,0.000812
32,18462.8,2.43906,1.34873,0.9513,0.67106,0.61138,0.63966,0.23535,2.28746,1.21313,0.95643,0.0007724,0.0007724,0.0007724
33,19000.3,2.44448,1.35938,0.94869,0.65063,0.6216,0.62697,0.23062,2.27302,1.20935,0.95162,0.0007328,0.0007328,0.0007328
34,19558.4,2.41629,1.35031,0.95101,0.57352,0.59471,0.59288,0.23409,2.24409,1.27114,0.94217,0.0006932,0.0006932,0.0006932
35,20117.1,2.40437,1.34228,0.94916,0.61211,0.61544,0.61358,0.2278,2.26504,1.22757,0.94588,0.0006536,0.0006536,0.0006536
36,20656.6,2.43906,1.33026,0.94211,0.66543,0.62671,0.63833,0.24386,2.2477,1.19565,0.95337,0.000614,0.000614,0.000614
37,21205.2,2.43789,1.33103,0.94564,0.65815,0.61018,0.63827,0.24299,2.23051,1.18884,0.94291,0.0005744,0.0005744,0.0005744
38,21754.8,2.41523,1.32763,0.94241,0.6546,0.6229,0.63865,0.24779,2.23837,1.16859,0.94732,0.0005348,0.0005348,0.0005348
39,22344.8,2.39295,1.3264,0.95062,0.63888,0.61033,0.62695,0.23654,2.24508,1.19633,0.9448,0.0004952,0.0004952,0.0004952
40,22887.2,2.4191,1.32039,0.93322,0.59766,0.61604,0.61737,0.24393,2.20388,1.20653,0.93797,0.0004556,0.0004556,0.0004556
41,23466.2,2.28665,1.24849,0.9609,0.6773,0.64097,0.66425,0.25725,2.21452,1.1459,0.94321,0.000416,0.000416,0.000416
42,24009.8,2.27507,1.21531,0.94665,0.71154,0.65149,0.68531,0.27457,2.18018,1.10893,0.93941,0.0003764,0.0003764,0.0003764
43,24583,2.2552,1.21202,0.95374,0.67792,0.63554,0.6725,0.26977,2.18833,1.13395,0.93857,0.0003368,0.0003368,0.0003368
44,25115.5,2.25104,1.18834,0.94436,0.69771,0.64418,0.68106,0.2701,2.19989,1.11421,0.94339,0.0002972,0.0002972,0.0002972
45,25638.9,2.27385,1.18939,0.94378,0.67504,0.64789,0.679,0.26976,2.19718,1.13398,0.94126,0.0002576,0.0002576,0.0002576
46,26222.2,2.22639,1.17198,0.95969,0.72966,0.66441,0.70632,0.28893,2.16781,1.09019,0.94125,0.000218,0.000218,0.000218
47,26783.4,2.23052,1.15248,0.95166,0.71294,0.66446,0.70203,0.28574,2.16293,1.09239,0.939,0.0001784,0.0001784,0.0001784
48,27403.5,2.22348,1.15848,0.95186,0.72035,0.65555,0.69382,0.27088,2.21468,1.10171,0.94444,0.0001388,0.0001388,0.0001388
49,27942.4,2.23789,1.15632,0.94519,0.70343,0.65585,0.69845,0.28012,2.18367,1.10281,0.94,9.92e-05,9.92e-05,9.92e-05
50,28468,2.22613,1.15252,0.94552,0.72886,0.66516,0.71058,0.28476,2.17917,1.08703,0.93992,5.96e-05,5.96e-05,5.96e-05
1,862.583,4.55912,2.79126,1.91039,0.46705,0.38151,0.35704,0.10275,4.73461,2.42779,1.75738,0.000398854,0.000398854,0.000398854
2,1709.6,4.19907,2.28439,1.77281,0.36926,0.46538,0.32487,0.09657,4.41332,3.02589,1.70469,0.000783037,0.000783037,0.000783037
3,2515,4.19392,2.2882,1.75321,0.49848,0.3005,0.34395,0.09539,4.92705,2.41034,1.80108,0.00115138,0.00115138,0.00115138
4,3348.23,4.14705,2.23799,1.73562,0.50376,0.44837,0.40594,0.11067,4.65975,2.37897,1.75029,0.00150388,0.00150388,0.00150388
5,4179.82,4.13148,2.24094,1.73694,0.44264,0.45953,0.39755,0.10777,4.71495,2.42633,1.75043,0.00184054,0.00184054,0.00184054
6,5030.54,4.04421,2.21569,1.73962,0.48879,0.46507,0.41588,0.11519,4.64754,2.19912,1.73564,0.001802,0.001802,0.001802
7,5913.52,4.04498,2.22081,1.72287,0.50187,0.48416,0.42534,0.11581,4.48855,2.3763,1.69957,0.0017624,0.0017624,0.0017624
8,6735.33,3.986,2.17542,1.71633,0.50462,0.50646,0.45345,0.13583,4.454,2.11371,1.69831,0.0017228,0.0017228,0.0017228
9,7576.05,3.96837,2.15727,1.72147,0.5121,0.52103,0.47207,0.1471,4.22173,2.0565,1.64595,0.0016832,0.0016832,0.0016832
10,8396.23,3.94556,2.14961,1.69782,0.48291,0.43137,0.39289,0.11049,4.6539,2.29599,1.72806,0.0016436,0.0016436,0.0016436
11,9249.99,3.89855,2.14142,1.70457,0.5428,0.48891,0.46988,0.14098,4.36127,2.04005,1.67349,0.001604,0.001604,0.001604
12,10104.1,3.87958,2.11883,1.69963,0.58704,0.51755,0.518,0.17083,4.19351,1.92946,1.65058,0.0015644,0.0015644,0.0015644
13,10937,3.89561,2.09233,1.69515,0.60646,0.44514,0.48248,0.1539,4.27191,2.0603,1.6531,0.0015248,0.0015248,0.0015248
14,11764.9,3.86777,2.09576,1.68703,0.53069,0.55132,0.49333,0.15003,4.2867,2.01078,1.65544,0.0014852,0.0014852,0.0014852
15,12611.8,3.84696,2.08377,1.67817,0.5929,0.52091,0.51857,0.17868,4.06961,1.93136,1.63516,0.0014456,0.0014456,0.0014456
16,13455.7,3.84601,2.0939,1.67561,0.52395,0.54736,0.49266,0.15012,4.26978,2.08101,1.65199,0.001406,0.001406,0.001406
17,14332.5,3.79709,2.06805,1.68684,0.55163,0.49884,0.49427,0.17519,4.03869,1.95759,1.61829,0.0013664,0.0013664,0.0013664
18,15185.8,3.83066,2.07904,1.67564,0.52428,0.57656,0.51667,0.16245,4.24629,2.0332,1.65244,0.0013268,0.0013268,0.0013268
19,15997.6,3.84591,2.06497,1.67246,0.59913,0.50951,0.52903,0.1758,4.1556,2.00063,1.63501,0.0012872,0.0012872,0.0012872
20,16816.7,3.83775,2.05162,1.66744,0.57369,0.57772,0.56094,0.19831,3.99797,1.91638,1.61617,0.0012476,0.0012476,0.0012476
21,17644.6,3.7816,2.02597,1.66263,0.5645,0.49799,0.49441,0.15418,4.30205,2.00585,1.65226,0.001208,0.001208,0.001208
22,18482.8,3.7465,2.02371,1.66808,0.60736,0.48604,0.52266,0.17919,4.15384,1.95137,1.63593,0.0011684,0.0011684,0.0011684
23,19325.2,3.76043,2.04402,1.66997,0.59442,0.52438,0.54157,0.19256,4.00862,1.9056,1.61331,0.0011288,0.0011288,0.0011288
24,20156.8,3.76452,2.01314,1.6634,0.6077,0.56077,0.57023,0.20507,4.05533,1.86103,1.62891,0.0010892,0.0010892,0.0010892
