epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.1243,0,17.4362,0,0,0,0,0,0,46.3622,0,0.00018,0.00018,0.00018
2,26.37,0,16.1917,0,0,0,0,0,0,46.6924,0,0.000364952,0.000364952,0.000364952
3,37.8254,0.03178,14.5034,0.00781,0,0,0,0,0,52.0257,0,0.000534064,0.000534064,0.000534064
4,50.2001,0,12.9391,0,0,0,0,0,0,40.8994,0,0.000687336,0.000687336,0.000687336
5,62.0082,0,11.8719,0,0,0,0,0,0,33.9533,0,0.000824768,0.000824768,0.000824768
6,74.4667,0,11.0923,0,0,0,0,0,0,30.9577,0,0.00094636,0.00094636,0.00094636
